Trading Code,Company Name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change(%),52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
ACTIVEFINE,Active Fine Chemicals Limited,19.90,19.90,3:45 PM,19.80 - 20.40,0,8.42,0.00%,19.10 - 34.10,20.40,"421,518.00",19.90,366,19.90,"4,774.738","3,000.00",,"2,399.37",Equity,10.0,1,"239,936,580",Pharmaceuticals & Chemicals,"Share Office: Tanaka Tower 2nd floor, 42/1/Gha, Segun Bagicha, Dhaka-1000.rnRegistered Office: Navana Osman @Link, 214/D, Tejgaon, Gulshan Link Road, Dhaka-1208.","88-02-8836830, 02-8836875",02-9531190,"afc@cs2018@gmail.com, active.fine.chemicals@gmail.com",http://www.afchem.com,Md. Mahbubur Rahman,01992024696,02-9531023,afc.cs2018@gmail.com
ADNTEL,ADN Telecom Limited,60.80,60.80,3:45 PM,60.10 - 62.20,0,4.69,0.00%,49.80 - 83.20,61.10,"76,956.00",60.80,176,60.80,"3,930.821","2,000.00","06 Jan, 2020",646.52,Equity,10.0,1,"64,651,666",IT Sector,"Red Crescent Concord Tower (19th Floor), 17 Mohakhali C/A, Dhaka-1212","+8802 9841234, +8802 9841234 and 01777770324",+880 2 9887551,info@adnsl.net,http://www.adntel.com.bd,"Md. Monir Hossain, FCS",01777770322,+8802 9841234 Ext: 113,monir@adnsl.net
ADVENT,Advent Pharma Limited,23.40,23.40,3:45 PM,23.20 - 24.00,0,5.50,0.00%,23.20 - 38.10,24.00,"234,663.00",23.40,237,23.40,"2,179.306","1,000.00","12 Apr, 2018",931.33,Equity,10.0,1,"93,132,732",Pharmaceuticals & Chemicals,"Rupayan Karim Tower, Level # 10, 80-Kakrail, VIP Road, Ramna, Dhaka-1000.",+88-02-9185352,+88-02-9185351,adventpharmaltd.bd@gmail.com,http://www.adventpharmabd.com,Md Ikramul Islam,'01725909222,,ikramulca@gmail.com
AFCAGRO,AFC Agro Biotech Ltd.,23.90,24.00,3:45 PM,23.90 - 24.60,-0.3,2.74,-1.24%,21.40 - 38.50,24.00,"113,281.00",24.20,157,24.20,"2,788.232","3,000.00","11 Feb, 2014","1,152.16",Equity,10.0,1,"115,216,200",Pharmaceuticals & Chemicals,"Share Office: Tanaka Tower 2nd floor, 42/1/Gha, Segun Bagicha, Dhaka-1000.rnRegistered Office: Navana Osman @Link, 214/D, Tejgaon, Gulshan Link Road, Dhaka-1208.","88-02-8836830, 02- 8836875, 02-9531023",880-2-9531190,"afc.cs2018@gmail.com, active.fine.chemicals@gmail.com",http://www.afcagrobiotech.com,Sabekun Nahar,01992024515,02-9531023,afc.cs2018@gmail.com
AFTABAUTO,Aftab Automobiles Limited,25.80,25.80,3:45 PM,25.70 - 26.80,0.1,0.80,0.39%,24.30 - 40.40,25.70,"30,949.00",25.70,83,25.70,"2,583.339","3,000.00",,"1,005.19",Equity,10.0,1,"100,519,043",Engineering,"125/A Motijheel C/A, Dhaka - 1000",+8802 223381812,+8802 223383224,info@aftabautomobiles.com,http://aftabautomobiles.com,Mohammad Jaman Khan ACS,01713245382,"(8802) 9552212, 9554748, Ext-111",cs@aftabautomobiles.com
AGNISYSL,Agni Systems Ltd.,22.50,22.50,3:45 PM,22.40 - 23.10,-0.3,17.85,-1.32%,19.00 - 30.50,23.00,"790,178.00",22.80,408,22.80,"1,654.281","1,000.00",,725.56,Equity,10.0,1,"72,556,192",IT Sector,"Navana Tower(11th floor), Suite # A,45, Gulshan Avenue, Gulshan - 1, Dhaka - 1212","09606100700 Ext. 104,",58811902,cs@agni.com,http://www.agni.com,Md. Noor ul Alam,"01841739966 , 01615862332",09606100700 Ext. 104,noor.alam@agni.com
AGRANINS,Agrani Insurance Co. Ltd.,38.50,38.90,3:45 PM,38.40 - 42.50,-0.6,4.34,-1.53%,38.40 - 64.20,39.00,"112,645.00",39.10,221,39.10,"1,241.696",500.00,,317.57,Equity,10.0,1,"31,756,920",Insurance,"City Centre (17th floor), 90/1, Motijheel C/A, Dhaka-1000",55111007-11,88-02-55111012,info.agraniinsurance.com,http://www.agraniinsurance.com,Md. Mofizur Rahman,01723407370,8391571-4 Ex-114,mofizuraicl@gmail.com
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,7.60,7.60,3:45 PM,7.50 - 7.60,0.1,0.03,1.33%,7.50 - 9.80,7.60,"4,288.00",7.50,10,7.50,750.000,-,,"1,000.00",Mutual Fund,10.0,1,"100,000,000",Mutual Funds,"LR Global Bangladesh Asset Management Company Ltd. Concord IK Tower (4th Floor), Plot # 2, Bock # CEN(A), Gushan-2, Dhaka-1212, Bangladesh.","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",+88 02 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
AIL,Alif Industries Limited,53.80,53.80,3:45 PM,52.50 - 54.80,1.9,74.36,3.66%,35.40 - 67.30,52.60,"1,382,864.00",51.90,"1,762",51.90,"2,296.662","1,500.00","28 Dec, 2017",442.52,Equity,10.0,1,"44,251,669",Textile,"Bilquis Tower (9th floor), House -06, Road-46, Gulshan-2, Dhaka - 1212","58815226, 58815227",58815228,alifindustries95@gmail.com,http://www.alifgroup-bd.com/,Mahfuzur Rahman,01552416749,"58815226, 58815227",alifindustries95@gmail.com
AL-HAJTEX,Al-Haj Textile Mills Limited,130.40,129.80,3:45 PM,126.00 - 131.90,2.2,48.28,1.72%,41.40 - 142.00,126.00,"372,036.00",128.20,549,128.20,"2,858.674",500.00,,222.99,Equity,10.0,1,"22,298,549",Textile,"66, Dilkusha C/A (4th floor) Chand Mansion, Dhaka",02-223384638,88 - 02 - 223383951,info@alhajtextilemills.com,http://www.alhajtextilemills.com,Md. Selim Parvez FCS,01673-406433,02-223384638,secretary@alhajtextilemills.com
ALARABANK,Al-Arafah Islami Bank Ltd,24.10,24.10,3:45 PM,23.90 - 24.10,0.1,2.04,0.42%,22.60 - 30.10,24.10,"84,799.00",24.00,61,24.00,"25,557.652","15,000.00",,"10,649.00",Equity,10.0,1,"1,064,902,185",Bank,"63, Purana Paltan, Dhaka - 1000","02-44850050 (direct),  02-44850005-20, ext--(212-215)",02-44850065,"board.aibl@al-arafahbank.com,  share@aibl.com.bd",http://www.al-arafahbank.com,Md. Mahmudur Rahman,01819556376,"02-44850027 (direct), 02-44850005  Ext. 111",mahmud.rahman@al-arafahbank.com
ALIF,Alif Manufacturing Company Ltd.,13.60,13.60,3:45 PM,13.40 - 13.80,0.1,17.37,0.74%,12.50 - 23.50,13.60,"1,276,055.00",13.50,564,13.50,"3,509.015","5,000.00",,"2,599.27",Equity,10.0,1,"259,927,022",Textile,"Bilquis Tower(9th floor), House # 6,Road # 46, Gulshan Circle - 2,Dhaka - 1212.","58815226, 58815227",58815228,alifmanufacturing@gmail.com,http://amcl.com.bd,Mahfuzur Rahman,'01552416749,"58815226, 58815227",mahfuz.lkgroup@gmail.com
ALLTEX,Alltex Industries Ltd.,23.60,23.60,3:45 PM,23.50 - 24.40,-0.3,18.36,-1.26%,12.50 - 29.70,23.90,"772,441.00",23.90,576,23.90,"1,337.635","1,000.00",,559.68,Equity,10.0,1,"55,968,000",Textile,"Correspondence Office: Suite No. 5Brn House No. 1, Road No. 27/28, Block-KrnBanani, Dhaka, Bangladesh","(02) 48810664, '01711141161",(02) 48810665,info.alltex@yahoo.com,http://www.alltexbd.com,MD. ZIAUL HUQUE,01730031245,(02) 48810664,csalltex@yahoo.com
AMANFEED,Aman Feed Limited,33.80,33.80,3:45 PM,33.70 - 34.80,-0.5,13.92,-1.46%,33.70 - 79.70,34.60,"406,439.00",34.30,518,34.30,"4,492.285","1,500.00","01 Sep, 2015","1,309.70",Equity,10.0,1,"130,970,400",Miscellaneous,"2, Isha kha Avenue, Sector# 6, Uttara, Dhaka- 1230","880-752-956191, 880-2-48961691-3, 09612613000",880-2-58950510,masudul@amangroupbd.com,http://www.amanfeed.com,Md. Masudul Karim,01755-675040,,masudul@amangroupbd.com
AMBEEPHA,Ambee Pharmaceuticals  Ltd.,498.20,498.20,3:45 PM,490.40 - 510.00,9.8,1.88,2.01%,375.30 - 645.00,500.00,"3,761.00",488.40,78,488.40,"1,172.160",25.00,,24.00,Equity,10.0,1,"2,400,000",Pharmaceuticals & Chemicals,"184/1, Tejgaon Industrial Area rnDhaka-1208","(880-2) 8870777, 8870788, 8878534",8870777,cs.amir@ambeepharma.com,http://www.ambeepharma.com,Motiur Rahman,01888814455,,cs.amir@ambeepharma.com
AMCL(PRAN),Agricultural Marketing Company Ltd. (Pran),267.50,267.90,3:45 PM,267.50 - 274.00,-2.8,2.87,-1.04%,195.10 - 399.00,273.90,"10,677.00",270.30,115,270.30,"2,162.400",500.00,,80.00,Equity,10.0,1,"8,000,000",Food & Allied,"PRAN Cenre, Ga-105/1, Middle Badda, Dhaka-1212",9881792 Ext-230,88-02-8837464,amcl@prangroup.com,http://www.pranfoods.net,Advocate Kizi Abdur Rahman,01924601238,"9881792, Ext-431",legal14@prangroup.com
ANLIMAYARN,Anlimayarn Dyeing Ltd.,37.00,36.90,3:45 PM,36.40 - 37.90,-0.1,6.42,-0.27%,32.80 - 52.90,37.90,"173,112.00",37.10,285,37.10,662.895,200.00,,178.68,Equity,10.0,1,"17,867,800",Textile,"Suite # 4/3, City Heart, 67, Naya Paltan, Dhaka-1000.","49349881-4, 9341373, 48317216",48317184,info@anlima.com,http://www.anlima.com,Mohammad Jahangir Alam,01848300800,"49349881-4, 9341373, 48317216",info@anlima.com
ANWARGALV,Anwar Galvanizing Ltd.,388.30,388.30,3:45 PM,387.00 - 405.40,-5.9,4.60,-1.50%,251.00 - 483.00,405.40,"11,776.00",394.20,168,394.20,"6,610.971",500.00,,167.71,Equity,10.0,1,"16,770,600",Engineering,"Baitul Hossain Building ( 14 Floor ), 27 Dilkusha , Motijheel, Dhaka -1000","88 02 9552134, 88 02 9564033",88 02 7124264,tauhidul.islam@anwargroup.net,http://www.anwargalvanizing.com,Mr. Tauhidul Islam FCS,01711 704 554,88 02 9551335,tauhidul.islam@anwargroup.net
AOL,Associated Oxygen Limited,37.10,37.10,3:45 PM,36.70 - 39.30,-0.1,4.50,-0.27%,33.90 - 66.00,38.00,"120,086.00",37.20,161,37.20,"4,083.890","1,100.00","25 Oct, 2020","1,097.82",Equity,10.0,1,"109,782,000",Fuel & Power,"BCIC Sadan(1st Floor), 26 Agrabad C/A,Chitagong","88-031-711009,  88-031-711038",88-031-2517950,info@associatedoxygenltd.com,http://www.associatedoxygenltd.com,,,,
APEXFOODS,Apex Foods Limited,173.90,173.90,3:45 PM,173.00 - 178.90,-2.2,2.40,-1.25%,126.00 - 243.00,174.30,"13,663.00",176.10,212,176.10,"1,004.193",150.00,,57.02,Equity,10.0,1,"5,702,400",Food & Allied,"Rupayan Golden Age, 5th & 6th Floor, 99 Gulshan Avenue, Dhaka-1212","880-2-9883358, 880-2-9883358 Ext. 152, 880-31-2771830",880-2-58810990 or 8810850,share@apexfoods.com,http://www.apexfoods.com,Kamrul Islam,01721007914,880-2-9883358 Ext. 153,share@apexfoods.com
APEXFOOT,Apex Footwear Limited.,266.50,266.50,3:45 PM,266.00 - 278.00,-2.3,9.51,-0.86%,220.00 - 395.00,274.00,"34,628.00",268.80,139,268.80,"3,175.200",500.00,,118.12,Equity,10.0,1,"11,812,500",Tannery Industries,"House No. 06, Road No. 137, Block - SE(D)rnGulshan-1, Dhaka-1212","02 55044841, 02 55044841 (Ext-347)",02 55044843,omar.faruque@apexfootwearltd.com,http://www.apexfootwearltd.com,Md. Omar Faruque,01717306107,02 55044841 (Ext-288),omar.faruque@apexfootwearltd.com
APEXSPINN,Apex Spinning & Knitting Mills Limited,133.70,132.70,3:45 PM,131.40 - 136.00,-0.3,5.18,-0.22%,109.00 - 195.90,135.00,"39,174.00",134.00,208,134.00,"1,125.600",300.00,,84.00,Equity,10.0,1,"8,400,000",Textile,"Rupayan Golden Age, 5th & 6th Floor, 99 Gulshan Avenue, Dhaka-1212",880-2-9883358 Ext. 152,880-2-58810850 or 9861685,share@apexknitting.com,http://www.apexknitting.com,Md. Delour Hossen,01819542647,880-2-9883358 Ext. 153,share@apexknitting.com
APEXTANRY,Apex Tannery Limited,133.80,133.80,3:45 PM,133.60 - 138.90,-2.5,4.69,-1.83%,111.50 - 184.00,138.90,"34,797.00",136.30,208,136.30,"2,077.212",500.00,,152.40,Equity,10.0,1,"15,240,000",Tannery Industries,"Plot: XA1. XA2, XA3 & XS8, BSCIC Chamra Shipla Nagari, Harindhara, Hemayetpur, Savar, Dhaka- 1340.","01711686592, 01718483597, 01711686592",,"info@apextannery.com, apex@accesstel.net",http://www.apextannery.com,"Sushanta Kumar Paul, FCS",01714299096,,sushanta@apextannery.com
APOLOISPAT,Appollo Ispat Complex Limited,8.10,8.10,3:45 PM,8.10 - 8.30,-0.1,15.95,-1.22%,7.60 - 14.80,8.10,"1,965,541.00",8.20,525,8.20,"3,290.731","5,000.00","24 Dec, 2013","4,013.09",Equity,10.0,1,"401,308,600",Engineering,"407, Tejgaon Industrial Area, Dhaka - 1208","+88(02)9114946 , 9115098, 9110974, 9137533 - 4, 8117559",+88(02) 9126291,rani@appollo-ispat.com,,,,,
ARAMIT,Aramit Limited,283.00,283.00,3:45 PM,282.10 - 285.00,0.1,0.54,0.04%,258.30 - 450.00,285.00,"1,913.00",282.90,35,282.90,"1,697.400",100.00,,60.00,Equity,10.0,1,"6,000,000",Miscellaneous,"53, Kalurghat Heavy I / E, P.O Mohara, Chattogram - 4208.","(+88 031) 2570986, 670473, 671950, 670368, '(+88 02) 58815556, 9887176, 9881095",(+88 031) 671583,altd@aramitgroup.net,http://www.aramitlimited.com,"Mr. Syed Kamruzzaman, FCMA",01819-240005,,cfo.atal@aramitgroup.com
ARAMITCEM,Aramit Cement Limited,33.00,33.00,3:45 PM,33.00 - 33.80,-0.6,14.44,-1.79%,24.50 - 64.00,33.60,"436,323.00",33.60,668,33.60,"1,138.368",500.00,,338.80,Equity,10.0,1,"33,880,000",Cement,"53, Kalurghat HIE, P.O. Mohara, Chattogram- 4208.","(88 031) 671950, 670473, 670368, 672516, (88-02) 9887176, 9881095",88-031-671583,shares@aramitgroup.com,http://www.aramitcement.com,"Syed Kamruzzaman, FCMA",01819240005,"(88 031) 671950, 670473, 670368, 672516,   Ext-119",cfo.atal@aramitgroup.com
ARGONDENIM,Argon Denims Limited,18.10,18.10,3:45 PM,18.00 - 18.50,-0.1,1.28,-0.55%,16.80 - 28.60,18.50,"70,637.00",18.20,77,18.20,"2,527.773","1,500.00","19 Feb, 2013","1,389.00",Equity,10.0,1,"138,888,606",Textile,"Lotus Kamal Tower One (Level 6), 57 Joar Sahara C/A, Nikunja-2, New Airport Road, Dhaka- 1229","880-2-8900870-4, 8900781-3, 880-2-9020491-2",+880-2-8900784,info@argondenims.com,http://www.argondenims.com,Md. Moniruzzaman Bhuiyan,'01714-094393,"880-2-8900870-4, 8900781-3 Ext. 137",monir@argondenims.com
ASIAINS,Asia Insurance Limited,49.20,49.10,3:45 PM,49.00 - 51.30,-0.8,6.64,-1.60%,49.00 - 129.40,50.40,"133,104.00",50.00,472,50.00,"2,353.493","1,000.00",,470.69,Equity,10.0,1,"47,069,858",Insurance,"Rupayan Trade Centre(14th Floor)rn114-115 Kazi Nazrul Islam AvenuernBangla Motor, Dhaka-1000.","02-5513581-84, Fax: 02-55138587",02-55138587,asiainsu@gmail.com,http://www.asiainsurancebd.com,Md. Atique Ullah Majumder,1711890048,"02-5513581-84, Ext: 104",asiainsu@gmail.com
ASIAPACINS,Asia Pacific General Insurance Co. Ltd.,44.10,44.10,3:45 PM,44.10 - 45.80,-0.9,1.64,-2.00%,44.10 - 76.50,45.50,"36,856.00",45.00,101,45.00,"1,905.750","1,000.00",,423.50,Equity,10.0,1,"42,350,000",Insurance,"\""Homested Gulshan Link Tower\"" (6th Floor), Ta-99, Gulshan Badda Link Road, Middle Badda, Dhaka.",09666771771 (Ext: 112),02-8834170,apgic@bdcom.com,http://www.apgicl.com,Md. Shariful Islam Chowdhury,01682624645,09666771771 (Ext: 106),share@apgicl.com
ATCSLGF,Asian Tiger Sandhani Life Growth Fund,9.70,9.70,3:45 PM,9.60 - 9.90,0,0.52,0.00%,9.10 - 15.50,9.90,"53,985.00",9.70,54,9.70,599.325,-,"31 Mar, 2015",617.86,Mutual Fund,10.0,1,"61,786,050",Mutual Funds,"Progress Tower, House # 01, Road # 23 (2nd floor), Unit # 2A & 2B, Gulshan-1, Dhaka-1212.","+(8802) 9852111, 9852112, 9852113",+(8802) 9852110,info@at-capital.com,http://www.at-capital.com,,,,
ATLASBANG,Atlas Bangladesh Ltd.,109.30,109.30,3:45 PM,106.80 - 114.00,0.4,0.29,0.37%,90.00 - 146.90,106.90,"2,609.00",108.90,14,108.90,"3,607.542","1,000.00",,331.27,Equity,10.0,1,"33,127,108",Engineering,"Bsec, Kawran, Bazarrnrn andrnrn Tongi, Gazipur","02-8120414, 02-8189642, 9814190, Ext-25, 01716861439",29812660,bdabl@yahoo.com,http://www.atlas.gov.bd,Sanjay Kumar Datta,01718568869,"9814190, Ex-18",san.ntl_2007@yahoo.com
AZIZPIPES,Aziz Pipes Ltd.,99.10,99.20,3:45 PM,99.00 - 101.00,-0.3,2.64,-0.30%,83.00 - 169.00,100.00,"26,518.00",99.40,169,99.40,531.504,500.00,,53.47,Equity,10.0,1,"5,347,125",Engineering,"Aziz Bhaban (3rd Floor), 93, Motijheel C/A, Dhaka - 1000",+88 02 223382691-6,88 - 02 - 223389675,info@azizpipes.com,http://www.azizpipes.com,AHM Zakaria,01678029189,88-02-9562691 Ext.-104,zakaria@azizpipes.com
BANGAS,Bangas Ltd.,135.10,135.10,3:45 PM,134.30 - 139.90,-1.9,15.13,-1.39%,109.40 - 165.00,138.80,"110,781.00",137.00,711,137.00,"1,044.576",500.00,,76.25,Equity,10.0,1,"7,624,643",Food & Allied,"South Avenue Tower (6th Floor), House # 50, Road # 03, Gulshan- 1, Dhaka-1212.","88-02-222260264, 88-02-222260458, 88-02-222262803",88-02-222262803,companysecretary.btg@gmail.com,http://www.bangas.com.bd,Md. Shahjahan,01726128969,"88-02-222262803, 88-02-222260264, 88-02-222260458",companysecretary.btg@gmail.com
BANKASIA,Bank Asia Ltd.,20.60,20.50,3:45 PM,20.50 - 20.70,0,2.83,0.00%,17.80 - 22.20,20.50,"137,604.00",20.60,39,20.60,"24,017.681","15,000.00",,"11,659.10",Equity,10.0,1,"1,165,906,860",Bank,"Bank Asia Tower 32 & 34 Kazi Nazrul Islam AvenuernKawran Bazar, Dhaka-1215","880-9617-001100 Ext: 001213,001215, 01711198680",880-2-55013976,monzur.morshed@bankasia-bd.com,http://www.bankasia-bd.com,S.M.Anisuzzaman,01713-108866,880-9617-001100 Ext-001201,s.anisuzzaman@bankasia-bd.com
BARKAPOWER,Baraka Power Limited,22.20,22.20,3:45 PM,22.10 - 22.80,-0.3,6.14,-1.33%,22.10 - 33.20,22.70,"275,870.00",22.50,389,22.50,"5,297.977","4,000.00",,"2,354.66",Equity,10.0,1,"235,465,661",Fuel & Power,"6/A/1 (1st & 2nd Floor), Segunbagicha, Ramna, Dhaka-1000","+88-02-223352305, 223357074",+88-02-223383117,sharedept@barakapower.com,http://www.barakapower.com,Md. Saiful Islam Chowdhury,01730700857,"+88-02-223352305, 223357074 (Ext. 121)",cs@barakapower.com
BATASHOE,Bata Shoe Company (Bangladesh) Limited,919.00,924.00,3:45 PM,919.00 - 936.00,-3.8,3.56,-0.41%,"648.00 - 1,006.40",929.50,"3,829.00",922.80,114,922.80,"12,623.904",200.00,,136.80,Equity,10.0,1,"13,680,000",Tannery Industries,"Tongi Industrial Area, Tongi, Gazipur-1710.","PABX '9810501-5, 'PABX '9810501-5 (ext 194) Direct 9810514, Mobile 01711407674",9810511,bd.share@bata.com,http://www.batabd.com,Md. Hashim Reza,01713094614,PABX '9810501-5 (ext 193),hashim.reza@bata.com
BATBC,British American Tobacco bangladesh Company Limited,523.40,523.40,3:45 PM,522.20 - 524.50,2.4,55.51,0.46%,518.00 - 754.00,524.40,"106,048.00",521.00,"1,332",521.00,"281,340.000","5,400.00",,"5,400.00",Equity,10.0,1,"540,000,000",Food & Allied,"New DOHS Road,  Mohakhali,  Dhaka - 1206","+88 02 48811279-83, EXT-394",+880 2 8714819,md_azizur_rahman@bat.com,http://www.batbangladesh.com,Md. Azizur Rahman,+88 01313701925,"+88 02 48811279-83, Ext-392",md_azizur_rahman@bat.com
BAYLEASING,Bay Leasing & Investment Limited,24.20,24.20,3:45 PM,24.00 - 25.30,-0.2,16.73,-0.82%,24.00 - 38.10,24.80,"681,038.00",24.40,479,24.40,"3,437.678","3,000.00",,"1,408.88",Equity,10.0,1,"140,888,443",Financial Institutions,"Eunoos Trade Centre, Level-18, rn52-53 Dilkusha C/A, Dhaka-1000",02223352504 (Hunting),02223352503,info@blilbd.com,http://www.blilbd.com,Sharmin Akhter,01793477212,+88 02 223352504 (Hunting),sharmin@blilbd.com
